provincia_ciudad;area_ciudad;altura_ciudad;habitantes_ciudad;densidad_ciudad;promedio_ciudad;mediana_ciudad;percentil10_ciudad;percentil25_ciudad;percentil75_ciudad;percentil90_ciudad
Bs.As. G.B.A. Zona Oeste_Hurlingham;8.82;26;60275;6833.9;105300;87000;59000;75500;117500;174500
Bs.As. G.B.A. Zona Oeste_Ituzainga;23.6;28;135275;5731.99;149500;145000;95400;117500;175000;188500
Bs.As. G.B.A. Zona Oeste_La Matanza;325.71;15;1775816;5440.8;126900;121000;82400;90000;166250;190000
Bs.As. G.B.A. Zona Oeste_Merlo;129.33;16;528494;5929.38;102100;82000;54800;62500;135000;185500
Bs.As. G.B.A. Zona Oeste_Moran;12.51;26;122642;9803.5;96900;87500;66800;77500;116000;135400
Bs.As. G.B.A. Zona Oeste_Moreno;129.33;14;169506;5929.38;169500;130000;120000;120000;236250;250000
Bs.As. G.B.A. Zona Oeste_Tres de Febrero;45.36;26.88;343710;7577.38;130200;127500;84000;87750;175000;181000
Bs.As. G.B.A. Zona Sur_Almirante Brown;129;24;552902;4286.1;191800;190000;163000;180000;201750;250500
Bs.As. G.B.A. Zona Sur_Avellaneda;80;2;342677;20000;95800;84500;60000;72500;108750;150600
Bs.As. G.B.A. Zona Sur_Berazategui;80;22;322000;20000;178500;147500;115000;125000;235000;271000
Bs.As. G.B.A. Zona Sur_Esteban Echeverria;120;17;298814;764.6;140100;140000;88100;102500;176500;200000
Bs.As. G.B.A. Zona Sur_Ezeiza;80;12;160219;15000;263500;267500;238500;246250;280000;290000
Bs.As. G.B.A. Zona Sur_La Plata;30;26;196527;26550.9;107400;103500;74700;81250;127500;146500
Bs.As. G.B.A. Zona Sur_Lanus;80;9;459263;20000;155700;150000;124500;130000;176500;184000
Bs.As. G.B.A. Zona Sur_Lomas de Zamora;20;20;296742;14837;132200;130000;110600;115000;138750;153900
Bs.As. G.B.A. Zona Sur_Quilmes;80;17;582943;20000;123400;121000;79800;115500;131500;162000
Bs.As. G.B.A. Zona Sur_San Vicente;80;25;21411;10000;198000;180000;147000;157500;246250;261500
Bs.As. G.B.A. Zona Sur_Florencio Varela;80;25;426005;20000;131444.4444;126000;95000;110000;155000;168000
Buenos Aires Costa Atlantica_Costa Azul;27.7;1;1097;4240.56;51222.22222;52000;43000;48000;55000;57600
Buenos Aires Costa Atlantica_Costa del Este;27.7;4;654;4240.56;149600;138000;124500;127500;173750;181000
Buenos Aires Costa Atlantica_La Lucila del Mar;1.6;18;12222;7638.75;66333.33333;65000;51600;55000;78000;83400
Buenos Aires Costa Atlantica_Mar Chiquita;27.7;1;487;4240.56;135400;140000;89900;95000;173750;175000
Buenos Aires Costa Atlantica_Mar de Aja;27.7;6;13769;4240.56;53600;51500;42200;44250;59750;66500
Buenos Aires Costa Atlantica_Mar del Plata;79.48;25;656456;8259.4;115400;115000;75400;85750;133750;150000
Buenos Aires Costa Atlantica_Mar del Tuyo;27.7;4;8070;4240.56;44900;46000;32900;35000;52500;56000
Buenos Aires Costa Atlantica_Miramar;27.7;17;29433;4240.56;57100;58000;39700;48500;60000;80000
Buenos Aires Costa Atlantica_Monte Hermoso;27.7;24;7167;4240.56;104600;92500;76800;81250;113000;157000
Buenos Aires Costa Atlantica_Necochea;49.1;16;73557;1498.1;80800;72500;54800;58750;91250;125500
Buenos Aires Costa Atlantica_Ostende;27.7;14;6073;4240.56;121600;124500;77600;84250;152500;175400
Buenos Aires Costa Atlantica_Pinamar;27.7;17;45000;4240.56;100700;87500;71500;77500;121750;132000
Buenos Aires Costa Atlantica_San Bernardo;4.33;8;8133;1878.29;58400;61000;41800;46250;67250;71200
Buenos Aires Costa Atlantica_San Clemente del Tuyo;27.7;3;12126;4240.56;83600;70000;39600;48750;92500;150500
Buenos Aires Costa Atlantica_Santa Clara del Mar;4;4;7713;1928.25;83000;70000;59500;61750;108250;120500
Buenos Aires Costa Atlantica_Santa Teresita;27.7;4;15213;4240.56;42700;42500;35000;40000;45000;47800
Buenos Aires Costa Atlantica_Valeria del Mar;27.7;7;3156;4240.56;134300;125000;93300;117750;151250;198200
Buenos Aires Costa Atlantica_Villa Gesell;27.7;8;31730;4240.56;81600;63000;51800;53500;83250;147500
Buenos Aires Interior_Azul;2453.19;137;55728;467.41;43500;45000;29000;35000;54250;55000
Buenos Aires Interior_Bahia Blanca;2247;20;299101;133.98;96800;91000;48600;60250;131250;165000
Buenos Aires Interior_Balcarce;4120;112;38823;9.42;52700;50000;35000;44000;61250;67000
Buenos Aires Interior_Berisso;2453.19;6;101123;467.41;60000;56000;32000;39250;78750;91000
Buenos Aires Interior_Campana;2453.19;20;88860;467.41;115800;110000;64000;78500;160000;170000
Buenos Aires Interior_Ensenada;2453.19;4;55629;467.41;46400;46000;34500;35500;58750;60000
Buenos Aires Interior_Exaltacion de la Cruz;662;37;29805;45.02;85700;74500;67600;68000;110000;115000
Buenos Aires Interior_General Belgrano;2453.19;19;15394;467.41;98200;98000;79000;84000;107500;125000
Buenos Aires Interior_General Madariaga;2964;3;19747;6.63;97900;98500;60000;82500;120500;126000
Buenos Aires Interior_General Pueyrredon;1460;94;656456;424;77900;70000;49500;54250;95000;111700
Buenos Aires Interior_Junin;57.85;81;90305;1218.8;97100;90000;76200;81000;115000;125500
Buenos Aires Interior_Lobos;1740;23;44567;25.61;106600;95000;75000;78000;100000;133000
Buenos Aires Interior_Lujan;105.92;21;97363;918;98200;85000;61000;80000;115000;150000
Buenos Aires Interior_Mercedes;2453.19;38;63284;467.41;67400;50000;45000;47000;90000;105000
Buenos Aires Interior_Olavarria;7715;162;89721;0.01;34500;35000;28300;35000;37000;40000
Buenos Aires Interior_Pergamino;2453.19;56;91399;467.41;103100;101000;70000;80000;104000;148100
Buenos Aires Interior_San Miguel del Monte;2453.19;21;21034;467.41;61900;62000;50000;55250;70000;70000
Buenos Aires Interior_Tandil;52.34;188;116917;2360;71100;67000;44700;52000;81750;102500
Buenos Aires Interior_Tres Arroyos;5861;98;47177;0.01;51600;40000;38000;40000;50000;90000
